OBJECTID,COD_ID,DIST,FAS_CON,SIT_ATIV,TIP_UNID,POT_NOM,PAC_1,PAC_2,CTMT,UNI_TR_S,SUB,CONJ,MUN,DAT_CON,BANC,POS,DESCR,ARE_LOC
"128","16933018","6600",ABC,AT,"10","10",58524716925277675MT, ,"44018717","12911923","12873440","13739","2516201",01/01/1920,"1",PD, ,UB
"129","16933019","6600",ABC,AT,"10","6",58518474925295716MT, ,"44018717","12911923","12873440","13739","2516201",01/01/1920,"1",PD, ,UB
"130","16933020","6600",ABC,AT,"10","6",59854764927102376MT, ,"17067446","12911922","12873440","13739","2513208",01/01/1920,"1",PD, ,NU
"131","16933021","6600",ABC,AT,"10","10",65274739916913765MT, ,"17067452", ,"12873445","13740","2500106",01/01/1920,"1",PD, ,NU
"132","16933022","6600",ABC,AT,"10","10",65230630916939704MT, ,"17067452", ,"12873445","13740","2500106",01/01/1920,"1",PD, ,NU
"133","16933023","6600",ABC,AT,"10","10",70001293919686126MT, ,"17067458","12912294","12873427","13742","2516706",01/01/1920,"1",PD, ,NU
"134","16933024","6600",ABC,AT,"10","6",71009287919452047MT, ,"17067458","12912294","12873427","13742","2505402",01/01/1920,"1",PD, ,NU
"135","16933025","6600",ABC,AT,"10","6",56509083927930141MT, ,"17067460","207357388","12912328","13744","2516904",01/01/1920,"1",PD, ,UB
"136","24396563","6600",ABC,AT,"10","6",89096332926712825MT, ,"26260907","100660148","12873456","15804","2503605",01/01/1920,"1",PD, ,UB
"137","24396568","6600",ABC,AT,"10","6",85835945921896531MT, ,"26260917","12874110","12873458","13684","2500403",01/01/1920,"1",PD, ,NU
"138","24396569","6600",ABC,AT,"10","10",85689771921802378MT, ,"26260917","12874110","12873458","13684","2500403",01/01/1920,"1",PD, ,UB
"139","16933005","6600",ABC,AT,"10","6",67203321928450343MT, ,"17067403","12910960","12873428","13731","2513901",01/01/1920,"1",PD, ,UB
"140","12875412","6600",ABC,AT,"10","14",CDE12875464, ,"51696835","211896113","12873482","13694","2504603",01/01/1920,"0",PD, ,UB
"141","12912143","6600",ABC,AT,"10","16",TBU62830244, ,"51696954","12912145","12873412","13741","2507507",01/01/1920,"0",PD, ,UB
"142","12908190","6600",ABC,AT,"10","17",JPS96804152, ,"51696875","12908186","12873483","15807","2507507",01/01/1920,"0",PD, ,UB
"143","46741360","6600",ABC,AT,"10","6",95847473920242823MT, ,"51696919","12910319","12873480","15803","2507507",01/01/1920,"1",PD, ,UB
"144","16932996","6600",ABC,AT,"10","6",59428628920638625MT, ,"17067361","12909972","12873432","13723","2502607",01/01/1920,"1",PD, ,UB
"145","12874113","6600",ABC,AT,"10","17",ARA98753466, ,"26260944","12874110","12873458","13684","2501104",01/01/1920,"0",PD, ,UB
"146","24396573","6600",ABC,DS,"10","10",85491913927294837MT, ,"26260933","100660148","12912332","13685","2501005",01/01/1920,"1",PD, ,NU
"147","12909466","6600",ABC,AT,"10","19",MRU12909541, ,"51696906","12909461","12873415","15809","2507507",01/01/1920,"0",PD, ,UB
"148","471313753","6600",ABC,AT,"10","14",STR34820598, ,"51696943","34820744","12873417","13738","2513703",01/01/1920,"0",PD, ,UB
